ID,Name,Email,Role,Allowed_Usage_Hours,Actual_Usage_Hours,Predicted_Maintenance_Cost
5daf8d97,Johnny Marshall,dalepierce@example.com,Client,12.0,12.72,127.2
904b475b,Earl Kennedy,cindywood@example.com,Client,12.0,12.54,125.4
a60e9216,Amanda Contreras,mhogan@example.com,Client,12.0,12.29,122.9
52a55d5e,Lisa Gibson,fmiller@example.org,Client,12.0,12.69,126.9
29b8ec52,Robin Sanchez,alexandria08@example.net,Client,12.0,12.26,122.6
e0c7c058,Emily Stevenson,gchen@example.com,Client,12.0,13.32,133.2
72365540,Olivia Vasquez,fbuchanan@example.org,Client,12.0,14.65,146.5
5cf82b0d,Taylor Reed,qsmith@example.net,Client,12.0,14.38,143.8
485e6616,Melissa Lewis,mariameadows@example.net,Client,12.0,12.57,125.7
3787b206,Angela Miller,colondavid@example.com,Client,12.0,14.67,146.7
fa0d6f3f,Johnny Lowery,vpotter@example.net,Client,12.0,12.77,127.7
0fb10e62,Tonya Porter,alexanderbennett@example.org,Client,12.0,13.66,136.6
7c205fc3,Wesley Johnston IV,srobinson@example.com,Client,12.0,14.53,145.3
2bde31c3,Ruben Clark,marybrown@example.org,Client,12.0,12.77,127.7
334df6f3,Samuel Wilson,lopezkevin@example.org,Client,12.0,12.79,127.9
4e2a932f,Debra Price,alexandra11@example.net,Client,12.0,12.63,126.3
661cf0af,Nicholas Baker,daniel98@example.org,Client,12.0,13.57,135.7
b904b09b,Keith Arnold,emily27@example.com,Client,12.0,13.37,133.7
4740cf52,Gerald Terry,osilva@example.com,Client,12.0,12.91,129.1
2d54ccdf,Kristin Zamora,bradley58@example.org,Client,12.0,13.08,130.8
c1afae46,Patrick Phillips,ysmith@example.net,Client,12.0,14.11,141.1
c4932259,Hector Barnett,tyler54@example.org,Client,12.0,13.88,138.8
80ecc1a0,John Davis,brianna42@example.net,Client,12.0,14.43,144.3
748e20f7,Brenda Gonzalez,gfitzgerald@example.com,Client,12.0,13.61,136.1
073d2d90,Tracy Warner,oliverrichard@example.org,Client,12.0,14.11,141.1
06cf32de,Christopher Bradshaw,davisjames@example.net,Client,12.0,13.4,134.0
f9c5bee4,Erin Taylor,irandolph@example.org,Client,12.0,14.14,141.4
bffed074,Eric Hodges,paul26@example.org,Client,12.0,14.98,149.8
a1ede225,Valerie Young,phillipsdeborah@example.com,Client,12.0,12.21,122.1
434a074f,Darren Zimmerman,eugene07@example.com,Client,12.0,13.04,130.4
9e4f831d,Christina Johnson,mperkins@example.net,Client,12.0,14.95,149.5
eaf080fb,Christy Olsen,katherinehunter@example.com,Client,12.0,13.48,134.8
17a92354,Peter Rowe,pamela61@example.net,Client,12.0,14.23,142.3
501fd2e6,Crystal Graham,bob53@example.net,Client,12.0,14.62,146.2
56c8b881,Lauren Moore,mirandajohnson@example.com,Client,12.0,12.61,126.1
81b4ec58,Kimberly Lee,kjones@example.net,Client,12.0,14.24,142.4
7533ffbb,Regina Welch,jnguyen@example.net,Client,12.0,12.3,123.0
ce3be13e,Donald Dunn,fcarter@example.net,Client,12.0,14.44,144.4
7fad3420,Jennifer Mann,jacobchavez@example.com,Client,12.0,14.25,142.5
d53b5b32,Eduardo Collins,tiffanypotts@example.com,Client,12.0,12.25,122.5
4be3b268,Bonnie Pollard,aaronsims@example.net,Client,12.0,14.28,142.8
8289478a,Joseph Burton,jennifermoon@example.org,Client,12.0,13.23,132.3
2a4ca5b4,Grace Davis,kramirez@example.com,Client,12.0,14.62,146.2
ecd54909,Scott Evans,cassandra31@example.net,Client,12.0,13.79,137.9
41ab106e,Heather Gray,harrisadam@example.com,Client,12.0,13.75,137.5
e505c4f3,Jordan Santiago,brownangelica@example.net,Client,12.0,13.23,132.3
714e0953,Richard Nguyen,robertferrell@example.com,Client,12.0,14.97,149.7
2a249fd3,Mr. Russell Casey,david45@example.net,Client,12.0,12.63,126.3
5907c7b6,Sheila Miller,drakejeremy@example.org,Client,12.0,13.31,133.1
f2e3ebe9,Daniel Reyes,ukane@example.com,Client,12.0,12.87,128.7
34ce39bc,Michael Carney,vanessarivera@example.org,Client,12.0,12.86,128.6
a5fc74c2,Brittney Mcdaniel,butlerrebecca@example.org,Client,12.0,13.69,136.9
93c20116,Robin Davis,edward45@example.net,Client,12.0,13.09,130.9
4c32a693,John Doyle,stephenhoffman@example.com,Client,12.0,14.99,149.9
60162cf2,Anthony Cummings,ogordon@example.net,Client,12.0,14.01,140.1
3e8a2d13,Douglas King,guerreromelissa@example.org,Client,12.0,12.45,124.5
e2eb4af1,Erin Wade,richardklein@example.org,Client,12.0,12.19,121.9
d9c18647,Richard Lewis,glorianelson@example.org,Client,12.0,14.87,148.7
9ae74def,John Ellis,guerrerobrittany@example.net,Client,12.0,14.99,149.9
f4e0d196,Dawn Rivera,dunnjustin@example.net,Client,12.0,12.73,127.3
182b0ef1,Diana English,phillip64@example.org,Client,12.0,12.3,123.0
1a45ff65,Carla Park,gmendoza@example.org,Client,12.0,13.81,138.1
052859dd,Laurie Goodwin,gwright@example.org,Client,12.0,14.68,146.8
99cdc520,Jared Gonzales,mathewssusan@example.net,Client,12.0,12.62,126.2
0f838978,Eric Moon,nataliehernandez@example.com,Client,12.0,13.54,135.4
0889259d,Scott Williams,kenneth15@example.org,Client,12.0,12.48,124.8
3b5a3e32,Keith Arellano,chandlerscott@example.org,Client,12.0,14.47,144.7
6ac9b690,Sarah Jones,crossevan@example.org,Client,12.0,13.19,131.9
ae593184,William Wilkins,kurt53@example.com,Client,12.0,13.79,137.9
2248998b,Douglas Williams,ptaylor@example.org,Client,12.0,12.84,128.4
52d69541,Robert Davis,johnsonlynn@example.com,Client,12.0,14.12,141.2
119f0945,Christie Moreno,jbaird@example.org,Client,12.0,12.96,129.6
fb5dadaf,James Bush,holtshawn@example.com,Client,12.0,13.13,131.3
6e2569c4,Carla Jimenez,saraclark@example.org,Client,12.0,14.08,140.8
a4dd14ea,Jennifer Medina,allenpaul@example.net,Client,12.0,12.79,127.9
19b80b80,Rebecca Andrade,joanna56@example.com,Client,12.0,14.2,142.0
18545c6b,Richard Jacobs,dfranklin@example.net,Client,12.0,14.08,140.8
c3ced6f4,Amanda Blair,heather65@example.com,Client,12.0,13.21,132.1
937040d5,Jonathan Spencer,meyerssteve@example.net,Client,12.0,13.77,137.7
86d88ce7,Grace Simon,michael46@example.net,Client,12.0,12.04,120.4
725e9083,John Porter,justin27@example.com,Client,12.0,12.81,128.1
07d16872,Elizabeth Hernandez,hernandezsuzanne@example.org,Client,12.0,13.87,138.7
