ID,Name,Email,Role,Allowed_Usage_Hours,Actual_Usage_Hours
8af48b7b,Denise Lane,rhonda38@example.org,Worker,0.5,1.46
370ddbfb,Amy Richard,xrios@example.org,Worker,0.5,1.39
4cde9126,Brooke Cruz,robertball@example.net,Worker,0.5,0.65
70adc19c,Lauren Hernandez,eburton@example.org,Worker,0.5,1.81
5ff0fce1,Paul Griffin,sarah13@example.net,Worker,0.5,2.49
e74ad1f8,Christine Williams,ricestacy@example.com,Worker,0.5,1.28
f1b6c27c,Diana Allen,jill82@example.com,Worker,0.5,0.55
98a47106,Barry King,fritzdenise@example.com,Worker,0.5,1.33
70852a47,Vincent Merritt,jacobsanthony@example.net,Worker,0.5,1.04
0845f9d6,Dr. Gary Flowers DDS,parkercarol@example.com,Worker,0.5,0.56
7c180dca,John Johnson,xdickerson@example.org,Worker,0.5,1.31
8d2cac33,Amy Anderson,hogansteven@example.com,Worker,0.5,2.2
c0273cb9,John Williamson PhD,stephaniemckee@example.net,Worker,0.5,1.51
d3eefe66,Jeffrey Ford,grossadam@example.org,Worker,0.5,1.34
fd07494c,Karen Henderson,jennifer57@example.net,Worker,0.5,2.11
3735300f,Gregory Flores,qduffy@example.com,Worker,0.5,1.28
c4ce7fc1,Eric Lewis,ublack@example.net,Worker,0.5,0.86
dcaa5568,Kristin Anderson,kevinwalker@example.net,Worker,0.5,2.85
98e2e9ff,Amber Wells,anna74@example.org,Worker,0.5,0.53
3af59ad1,Samuel Potter,kellylee@example.net,Worker,0.5,2.49
3000174a,Bonnie Cummings,joyce05@example.org,Worker,0.5,1.59
0dd12fc0,Katherine Collins,camachopatrick@example.net,Worker,0.5,2.84
45a20ab4,Jeffrey Howe,cbrewer@example.org,Worker,0.5,2.78
4f24141e,Melissa Davis,derekwright@example.net,Worker,0.5,1.96
e9298b0d,Bradley Johnson,emily76@example.net,Worker,0.5,1.02
a40ee875,Lori Moore,dustinkennedy@example.com,Worker,0.5,2.09
d4e03dcb,Michael Holloway,alexandrapatterson@example.com,Worker,0.5,1.53
49a108c8,Tammy Ramirez,adriana88@example.net,Worker,0.5,2.55
06b2b74e,Kevin Garcia,greenwilliam@example.net,Worker,0.5,1.82
9a0bdfdf,Eric Johnson,thomasdillon@example.com,Worker,0.5,1.52
de03b03f,Betty Moore,jasonwilliams@example.com,Worker,0.5,2.18
9804c28c,Michael Sanchez,rshah@example.org,Worker,0.5,0.56
708551e8,Michael Campbell,chadwood@example.com,Worker,0.5,1.6
4e45ddca,Lisa Martinez,benderbrendan@example.net,Worker,0.5,1.5
8121ee98,Amy Kirk,briana66@example.com,Worker,0.5,0.68
988fe784,Tracy Torres,ryan17@example.org,Worker,0.5,2.9
a4f7d82f,Andre Garcia,qvega@example.org,Worker,0.5,0.75
c0404240,Carla Collins,jennifer64@example.com,Worker,0.5,0.69
00164ef8,Vincent White,stacyyoung@example.com,Worker,0.5,1.47
f7632d18,Andrew Romero,wguzman@example.net,Worker,0.5,1.96
6ce9bd7b,Valerie Murphy,bwilson@example.net,Worker,0.5,0.99
9e96f483,Becky Jones,weavereric@example.net,Worker,0.5,0.58
d9e68cfa,Andrea Chavez,maria30@example.com,Worker,0.5,0.62
954f7823,Dylan Gordon,timothybennett@example.net,Worker,0.5,1.07
96bc854c,Barbara Stephens,allisoncunningham@example.com,Worker,0.5,1.54
39d9e2ed,Alexander Ellison,qperry@example.com,Worker,0.5,1.26
bb7ec66c,Julia Watson,danderson@example.org,Worker,0.5,1.61
8183629a,Martin Perkins,carlhill@example.org,Worker,0.5,1.88
74c867ef,Tracy Green,jessica84@example.net,Worker,0.5,0.57
d410b817,Susan Hawkins,tonyawilliamson@example.org,Worker,0.5,1.85
8e5bc0fa,Michele Mills,pvelasquez@example.net,Worker,0.5,2.89
c0a10244,Olivia Orr,garzacynthia@example.org,Worker,0.5,0.82
a789a756,Carl Jackson,wmcgee@example.net,Worker,0.5,1.6
1b6b2d48,Kristi Smith,erikaandrews@example.com,Worker,0.5,2.96
90c80e2c,Erica Edwards,cantrellpaul@example.org,Worker,0.5,2.63
dcd9602d,Bob Webb,perezrobert@example.net,Worker,0.5,2.14
89ee44d6,Aaron Garrison,julierobertson@example.org,Worker,0.5,2.47
7b68361d,Wayne Ramirez,pbrewer@example.org,Worker,0.5,1.66
aec0acbc,Angel Morgan,conleydorothy@example.org,Worker,0.5,2.34
856d0e5b,Eric Waller,hernandezstephanie@example.com,Worker,0.5,2.91
631433ea,Christopher White,davidmacdonald@example.com,Worker,0.5,1.95
c55ee541,Adam Tyler,ubond@example.com,Worker,0.5,1.07
3db8c150,Daniel Spencer,amandagomez@example.com,Worker,0.5,0.91
75ce7e65,Christopher Perez,jesse99@example.net,Worker,0.5,2.56
887afe5e,Zachary Dickson,teresa17@example.org,Worker,0.5,2.61
0965dda8,Eric Martinez,aprilstephens@example.com,Worker,0.5,1.21
4314f83d,Jessica Patterson,joshuamiles@example.org,Worker,0.5,0.65
fee9472b,Justin Lambert,castillopeter@example.net,Worker,0.5,2.84
9b454f85,Lisa Simpson,elizabeth04@example.org,Worker,0.5,1.18
d5704385,Tamara Johnson,qwatkins@example.net,Worker,0.5,1.36
7be433e3,Debbie Stevenson,anthonyhancock@example.com,Worker,0.5,2.97
8be55a74,Michelle Jordan MD,frederick55@example.org,Worker,0.5,1.8
7eeb3791,Barbara Webb MD,justinlloyd@example.org,Worker,0.5,2.27
147e94ae,Derek Nichols,sandraphillips@example.net,Worker,0.5,2.56
19948903,Jacob Evans,michaelvelazquez@example.org,Worker,0.5,0.76
ece865f9,Nancy Finley,williamsshelby@example.org,Worker,0.5,0.74
17273bb2,Robert Rice,floreskatherine@example.org,Worker,0.5,2.61
785af493,Amber Jones MD,dorissmith@example.org,Worker,0.5,1.98
ac3de1b2,Carol Ramirez,sbentley@example.com,Worker,0.5,2.57
2f262ad6,Daniel Green,jaime60@example.org,Worker,0.5,1.69
817f5095,Cody Williams,heather64@example.org,Worker,0.5,1.62
09836325,Todd Perry,dsutton@example.org,Worker,0.5,0.93
46aaec3a,Gregory Sweeney,ewalls@example.com,Worker,0.5,1.37
7931b492,Stefanie Griffith,wendy43@example.net,Worker,0.5,1.58
8d89d321,Sarah Kennedy,tray@example.org,Worker,0.5,2.62
48664422,Elizabeth Floyd,leonard06@example.org,Worker,0.5,1.53
3592f540,Matthew Garcia,maynardzachary@example.org,Worker,0.5,2.93
73412ba2,Justin Nguyen,hopkinsdouglas@example.org,Worker,0.5,2.49
cd9f4842,Amy Parker,millerbrian@example.com,Worker,0.5,2.15
10309f40,Margaret Maynard,dustin66@example.net,Worker,0.5,2.8
a752de0a,Tyler Rodriguez,alexandriahopkins@example.com,Worker,0.5,1.94
2e41ac3e,Tracey Lee,clynn@example.com,Worker,0.5,2.82
5256928d,Amanda Molina,julie56@example.org,Worker,0.5,0.59
1b8fcdcf,Ashley Carter,danacraig@example.net,Worker,0.5,2.4
0ddd1bf5,Bob Ray,prestonjuan@example.org,Worker,0.5,1.46
120a0c81,Morgan Webb,kenneth97@example.net,Worker,0.5,1.92
65d56d3c,Harold Rojas,nicole64@example.org,Worker,0.5,1.61
bccfd0b4,Jesse Chapman,clarksamuel@example.com,Worker,0.5,2.15
ebb7acc0,Kenneth Page,gibsonlauren@example.org,Worker,0.5,0.96
8b15fc8b,Matthew Montes,catherine50@example.net,Worker,0.5,2.68
d60e5c70,Terry Fox,cstein@example.net,Worker,0.5,2.97
5476ed0f,Taylor Morgan,johnnywilliams@example.org,Worker,0.5,0.7
0a5d4768,Matthew Hernandez,chase45@example.com,Worker,0.5,2.08
fce255bf,Mark Davis,fpoole@example.net,Worker,0.5,1.42
90622b22,Justin Kent,trhodes@example.com,Worker,0.5,0.75
7b28a696,Rachel Williams,pkelly@example.org,Worker,0.5,1.09
2acdc1e0,Joan Taylor,samantha08@example.org,Worker,0.5,1.04
c3fb52ca,Robert Schmidt,jenniferrobles@example.org,Worker,0.5,1.15
038661e2,Pamela Bates,amber46@example.org,Worker,0.5,2.64
e6ccf970,Henry Gilbert,lydia66@example.org,Worker,0.5,0.7
b61d9ada,Sarah Delgado,salasjennifer@example.org,Worker,0.5,1.37
b1f45a91,Paul Ramirez,anita49@example.org,Worker,0.5,2.77
b43dfd54,Paul Nelson,gutierrezjames@example.com,Worker,0.5,2.13
b79f39b1,Shirley Smith,eringreen@example.com,Worker,0.5,1.04
f0eeaf6a,Joel Wilson,williamrussell@example.com,Worker,0.5,2.48
83544984,Francisco Simmons,lorihowell@example.com,Worker,0.5,2.57
5d174edb,Tracy Gallegos,brandondavis@example.com,Worker,0.5,2.96
291fb86a,Emily Harris,browndaniel@example.org,Worker,0.5,1.62
f61df8ab,Christopher Young,kevin72@example.com,Worker,0.5,1.14
a03f85af,Kimberly Nelson,michellemiller@example.net,Worker,0.5,2.25
3f98f9e3,Grant Barber,xfuller@example.org,Worker,0.5,1.0
2c26ba9f,Susan Goodman,danielgardner@example.com,Worker,0.5,2.27
7f1b7e99,Jason Miller,justinrios@example.net,Worker,0.5,1.14
f2273578,Reginald Collier,glassgregory@example.org,Worker,0.5,1.16
f3c1801b,Craig Barrett,pbrown@example.org,Worker,0.5,0.8
531eea63,Edward Jordan,isaiah52@example.net,Worker,0.5,1.02
8306c909,Patrick Huff,dixondaniel@example.net,Worker,0.5,1.32
e7274a79,Corey Curtis,taraelliott@example.com,Worker,0.5,2.44
4e406352,Crystal Walker,jennifer30@example.org,Worker,0.5,1.33
9de52964,Adam Morse,nwilson@example.org,Worker,0.5,2.22
66c0d531,Lindsay Bailey,andersonkenneth@example.org,Worker,0.5,1.7
80fed617,James Garza,markleonard@example.net,Worker,0.5,0.66
4094aeb3,Taylor Reyes,tamaradavis@example.com,Worker,0.5,2.69
3d2fb903,Hannah Williams,nbrown@example.org,Worker,0.5,1.85
71a75696,Tracy Lopez,donalderickson@example.net,Worker,0.5,2.22
0651429d,Megan Kaufman,nicolebell@example.net,Worker,0.5,2.88
48129339,Jay Guzman,charlesfoster@example.org,Worker,0.5,0.98
f12a62b4,Joshua Rich,christopher79@example.com,Worker,0.5,0.6
4c7c4c05,Matthew Gonzalez,smartin@example.net,Worker,0.5,0.87
0187174c,Lisa Hanson,fsimpson@example.net,Worker,0.5,1.83
42362c52,Ellen Jones,james63@example.org,Worker,0.5,1.96
e6a4d321,George Barry,kwilliams@example.org,Worker,0.5,1.32
f9f6927c,Colton Garcia,judithwilliams@example.org,Worker,0.5,0.83
15ed6e8d,Gene Lyons,brendacarpenter@example.net,Worker,0.5,1.18
99675ad8,Kyle Holmes,tcampbell@example.org,Worker,0.5,2.77
0362d5e9,Natasha Garza,michael28@example.net,Worker,0.5,0.95
47ed5343,Brittany Scott,tyler94@example.net,Worker,0.5,2.25
f06871ec,Johnny Jones,scott43@example.net,Worker,0.5,0.55
826223de,Tanya Schroeder,gillespiealicia@example.com,Worker,0.5,1.3
e2759cc2,Emily Alexander,dprince@example.com,Worker,0.5,1.54
4db2fd9a,James Hayes,christophermartinez@example.com,Worker,0.5,1.81
8a327add,Tom Serrano,markallen@example.org,Worker,0.5,1.68
ca211331,Marvin Campbell,cassandra88@example.com,Worker,0.5,1.54
7bc3ac3e,Mr. Daniel Knight,josephdavis@example.org,Worker,0.5,2.61
5af0ad30,Andrea Shaffer,bwilliams@example.com,Worker,0.5,0.92
f648beee,Stacy Wagner,benjamintaylor@example.org,Worker,0.5,1.57
f21707de,Kevin Acosta,crawfordbarbara@example.net,Worker,0.5,0.97
ef3faa9f,Ann Smith,richard47@example.com,Worker,0.5,1.47
2e195229,William Harrison,reynoldsgregory@example.org,Worker,0.5,0.57
5a3c2025,Joshua Chan,jenkinsethan@example.net,Worker,0.5,2.86
d96b5dde,Ronald Clarke,amber34@example.org,Worker,0.5,0.61
ad7a0bb1,Samuel Diaz,gilljessica@example.net,Worker,0.5,0.85
1c953768,Karen Castro,bennettlisa@example.net,Worker,0.5,2.48
d7f1a15c,Mary Doyle,mahoneynicholas@example.net,Worker,0.5,2.76
9e9b00b9,Natasha Riley DVM,richardchapman@example.org,Worker,0.5,2.65
238bd2eb,Brian Simpson,michaelyang@example.com,Worker,0.5,1.27
fa0b6096,Bobby Carpenter,gomezsara@example.org,Worker,0.5,2.81
4d647a4a,Karen Nicholson,bnelson@example.org,Worker,0.5,1.26
2ff30238,Tammy Newman,smithshaun@example.com,Worker,0.5,2.5
f03efffa,Pamela Daniels,bfranklin@example.org,Worker,0.5,1.74
8995523b,Samantha Evans,jenniferwebb@example.net,Worker,0.5,1.16
